"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       Other","31-12-2020       Other","31-03-2021       Other","30-06-2021       Other","30-09-2021       1"
"2","Sales/Revenue","3,977.44","4,327.26","4,626.92","2,954.76","1,296.51","4,322.50","4,232.25","2,986.09","5,153.54","3,919.14"
"3","Pretax Income","(3,472.99)","(2,372.83)","(4,834.12)","(3,508.51)","(4,047.34)","(1,581.55)","(2,205.30)","(3,142.01)","(91,556.04)","(2,022.32)"
"4","Net Income","(3,472.99)","(2,372.83)","(4,290.57)","(3,508.51)","(4,047.34)","(1,581.55)","(2,205.30)","(3,142.01)","(84,826.07)","(2,022.32)"
"5","Cash & Short-Term Investments","5,933.21","6,500.59","7,779.00","6,294.55","5,605.68","6,842.01","6,451.08","6,140.49","6,424.52","11,705.35"
"6","Cash Only","1,749.65","2,205.02","3,188.06","1,666.92","944.44","2,180.66","2,142.94","1,832.35","2,113.81","7,394.64"
"7","Total Accounts Receivables","1,876.51","2,006.49","1,616.76","2,369.81","2,117.75","2,726.72","2,715.38","2,040.71","2,603.97","2,678.33"
"8","Inventories","74,890.90","75,124.25","75,645.30","74,680.94","74,683.20","74,668.36","73,988.55","74,031.84","28,157.60","27,672.17"
"9","Net Property, Plant & Equipment","106,876.72","105,953.24","104,641.46","103,863.53","102,888.42","101,891.34","101,002.68","100,050.72","70,798.19","70,178.29"
"10","Accrued Payable","26,536.80","26,204.03","25,857.17","27,559.18","29,197.77","31,039.99","30,575.35","30,882.05","30,894.51","35,645.91"
"11","Short Term Debt","30,364.32","32,809.45","33,190.88","32,595.75","32,888.65","31,945.54","13,216.48","14,589.62","12,237.26","9,532.47"
"12","Long Term Debt","27,405.37","26,873.08","26,368.73","26,285.24","26,367.31","27,883.12","47,971.40","47,247.13","45,815.66","46,309.73"
"13","Net Operating Cash Flow","(500.92)","(48.30)","369.11","38.57","98.25","1,704.84","732.15","(51.35)","(719.70)","84.74"
"14","Capital Expenditures","(21.42)","(18.49)","(353.88)","(8.60)","-","(2.64)","(88.89)","(6.65)","(34.54)","(42.89)"
"15","Total Shares Outstanding (million)","294,801.57","294,801.57","324,281.57","324,281.57","324,281.57","324,281.57","324,281.57","324,281.57","356,709.73","421,566.04"
