"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","1,313,705.00","1,462,396.00","1,579,123.00","1,672,465.00","1,893,104.00","2,006,284.00","2,103,367.00","2,187,102.00","2,217,049.00","2,264,142.00"
"3","Pretax Income","40,430.00","40,474.00","56,573.00","72,941.00","89,314.00","77,842.00","70,817.00","70,496.00","73,859.00","77,738.00"
"4","Net Income","27,288.00","30,145.00","40,482.00","51,778.00","63,074.00","55,801.00","52,173.00","50,107.00","51,307.00","53,519.00"
"5","Cash & Short-Term Investments","36,930.00","47,971.00","32,643.00","47,840.00","244,110.00","126,487.00","49,450.00","69,634.00","72,548.00","99,944.00"
"6","Cash Only","36,603.00","47,641.00","31,912.00","47,505.00","56,615.00","75,830.00","40,612.00","63,904.00","71,430.00","-"
"7","Total Accounts Receivables","203,224.00","189,181.00","303,035.00","222,385.00","52,948.00","70,840.00","58,828.00","61,920.00","35,941.00","94,822.00"
"8","Inventories","95,190.00","119,495.00","124,923.00","133,025.00","148,898.00","180,705.00","263,948.00","221,957.00","224,682.00","228,987.00"
"9","Net Property, Plant & Equipment","173,453.00","175,902.00","166,401.00","194,787.00","242,473.00","303,608.00","318,801.00","350,404.00","323,982.00","883,417.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","103,047.00"
"11","Short Term Debt","129,717.00","73,498.00","99,095.00","119,592.00","5,355.00","1,946.00","90,473.00","143,619.00","127,303.00","189,696.00"
"12","Long Term Debt","19,229.00","16,367.00","10,193.00","6,005.00","2,061.00","132.00","25,219.00","42,400.00","44,611.00","552,599.00"
"13","Net Operating Cash Flow","63,542.00","107,328.00","66,680.00","186,887.00","98,612.00","126,847.00","73,141.00","49,048.00","82,427.00","127,133.00"
"14","Capital Expenditures","(19,132.00)","(20,445.00)","(15,317.00)","(41,722.00)","(71,429.00)","(125,576.00)","(78,409.00)","(48,173.00)","(35,452.00)","(39,106.00)"
"15","Total Shares Outstanding (million)","35,000.00","35,000.00","35,000.00","35,000.00","1,233,385.00","1,192,885.00","1,150,186.06","1,150,186.06","1,150,193.17","1,150,192.57"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"16","Pretax Income","12,022.00","10,898.00","13,836.00","19,203.00","26,556.00","12,209.00","18,331.00","22,197.00","21,122.00","16,088.00"
"17","Net Income","9,520.00","8,003.00","10,150.00","16,096.00","15,855.00","8,933.00","13,132.00","16,757.00","12,485.00","11,145.00"
"17","Sales/Revenue","523,609.00","522,528.00","555,213.00","563,121.00","546,240.00","535,688.00","557,633.00","568,515.00","554,263.00","583,731.00"
"18","Cash & Short-Term Investments","49,450.00","64,050.00","74,435.00","66,891.00","69,634.00","72,494.00","68,890.00","93,864.00","72,548.00","99,944.00"
"19","Total Accounts Receivables","105,271.00","134,462.00","132,122.00","130,492.00","117,274.00","117,521.00","106,842.00","107,372.00","93,465.00","94,822.00"
"20","Inventories","263,948.00","246,609.00","258,950.00","241,713.00","221,957.00","222,196.00","229,759.00","232,053.00","224,682.00","228,987.00"
"21","Net Property, Plant & Equipment","318,801.00","320,819.00","321,694.00","352,400.00","350,404.00","343,592.00","337,213.00","335,474.00","323,982.00","883,417.00"
"22","Accrued Payable","-","-","-","130,387.00","115,184.00","114,962.00","122,223.00","117,850.00","107,114.00","103,047.00"
"23","Short Term Debt","90,473.00","123,017.00","151,137.00","139,878.00","143,619.00","146,309.00","136,300.00","142,269.00","127,303.00","189,696.00"
"24","Long Term Debt","25,219.00","39,509.00","48,800.00","46,100.00","42,400.00","38,700.00","35,000.00","48,912.00","44,611.00","552,599.00"
"25","Net Operating Cash Flow","6,066.00","(14,201.00)","41,602.00","12,850.00","8,797.00","12,299.00","49,827.00","22,507.00","(2,206.00)","57,005.00"
"26","Capital Expenditures","(25,141.00)","(18,300.00)","(16,656.00)","(6,629.00)","(6,588.00)","(8,853.00)","(10,033.00)","(16,305.00)","(261.00)","(12,507.00)"
"27","Total Shares Outstanding (million)","1,110,385.00","987,385.00","987,385.00","1,003,834.83","1,150,186.06","1,150,189.57","1,131,337.96","1,131,337.96","1,150,192.57","1,150,192.57"
