"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       Other","30-06-2021       Other","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","1,045,063.00","1,360,549.00","1,278,669.00","1,437,878.00","1,481,880.00","1,815,648.00","1,384,252.00","1,207,842.00","799,345.00","177,141.00"
"3","Pretax Income","137,384.00","139,117.00","147,685.00","166,486.00","164,839.00","227,324.00","127,257.00","14,811.00","(39,014.00)","(292,596.00)"
"4","Net Income","113,163.00","140,882.00","133,720.00","147,880.00","147,996.00","202,149.00","113,318.00","14,918.00","(42,114.00)","(290,329.00)"
"5","Cash & Short-Term Investments","893,063.00","1,357,762.00","1,338,088.00","1,415,259.00","1,138,817.00","887,388.00","1,078,604.00","550,603.00","290,285.00","218,945.00"
"6","Cash Only","585,577.00","1,084,076.00","-","-","-","-","-","-","-","-"
"7","Total Accounts Receivables","1,355,503.00","1,578,904.00","1,800,289.00","1,898,471.00","2,336,251.00","2,390,386.00","2,625,178.00","2,601,269.00","2,477,821.00","2,237,425.00"
"8","Inventories","1,021,209.00","919,561.00","1,114,763.00","1,360,764.00","1,435,020.00","1,666,784.00","1,883,798.00","2,103,860.00","2,342,654.00","1,792,634.00"
"9","Net Property, Plant & Equipment","1,705,782.00","1,936,737.00","2,108,746.00","2,215,514.00","2,785,136.00","2,535,006.00","2,628,856.00","2,662,341.00","2,603,415.00","2,532,574.00"
"10","Accrued Payable","390,123.00","402,657.00","463,710.00","544,776.00","731,254.00","473,417.00","593,328.00","383,362.00","477,129.00","778,287.00"
"11","Short Term Debt","391,999.00","459,353.00","509,989.00","589,482.00","575,101.00","844,171.00","668,441.00","1,672,364.00","1,503,413.00","1,475,493.00"
"12","Long Term Debt","2,176,590.00","2,963,045.00","3,349,147.00","3,164,648.00","3,347,553.00","3,142,088.00","3,343,691.00","2,304,053.00","2,288,939.00","2,282,266.00"
"13","Net Operating Cash Flow","50,017.00","111,130.00","43,195.00","38,712.00","(18,334.00)","(17,837.00)","9,754.00","(235,282.00)","(4,637.00)","(4,134.00)"
"14","Capital Expenditures","(253,377.00)","(195,619.00)","(185,430.00)","(179,946.00)","(580,918.00)","(94,942.00)","(1,223,148.00)","(1,301,563.00)","(3,831.00)","(3,613.00)"
"15","Total Shares Outstanding (million)","1,468,500.00","3,083,849.88","3,065,070.88","3,371,577.88","3,371,577.88","3,376,077.88","3,709,624.08","3,709,624.08","3,709,624.08","3,709,624.08"
