"1","Financial Year","30-06-2019       Other","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","855,949.00","1,436,898.00","1,408,017.00","1,333,491.00","457,258.00","1,345,864.00","1,233,940.00","1,122,346.00","1,126,998.00","797,573.00"
"3","Pretax Income","(11,410.00)","102,874.00","95,394.00","74,341.00","(45,793.00)","101,447.00","95,412.00","35,416.00","50,634.00","(12,404.00)"
"4","Net Income","(49,575.00)","66,955.00","61,938.00","48,611.00","(44,807.00)","67,854.00","65,062.00","18,678.00","29,640.00","(17,667.00)"
"5","Cash & Short-Term Investments","422,385.00","347,819.00","388,324.00","406,532.00","307,735.00","364,012.00","432,074.00","344,906.00","273,990.00","272,791.00"
"6","Cash Only","145,546.00","-","-","-","-","-","-","-","-","-"
"7","Total Accounts Receivables","467,270.00","527,299.00","513,768.00","524,965.00","525,252.00","583,414.00","550,788.00","597,932.00","547,280.00","531,960.00"
"8","Inventories","486,267.00","446,667.00","528,424.00","544,349.00","440,523.00","347,715.00","347,412.00","338,536.00","320,723.00","327,170.00"
"9","Net Property, Plant & Equipment","191,538.00","425,209.00","461,070.00","477,674.00","515,198.00","511,793.00","557,809.00","574,770.00","621,461.00","618,566.00"
"10","Accrued Payable","567,132.00","446,054.00","483,586.00","517,843.00","437,038.00","473,034.00","533,862.00","475,429.00","368,368.00","377,973.00"
"11","Short Term Debt","366,157.00","389,787.00","495,923.00","533,906.00","447,117.00","335,775.00","337,968.00","353,388.00","557,023.00","546,973.00"
"12","Long Term Debt","754,716.00","965,423.00","955,878.00","955,793.00","1,013,705.00","1,019,425.00","985,540.00","991,498.00","770,970.00","782,310.00"
"13","Net Operating Cash Flow","42,840.00","38,984.00","16,876.00","82,200.00","46,456.00","269,790.00","148,387.00","(5,756.00)","89,243.00","(23,960.00)"
"14","Capital Expenditures","(24,296.00)","(3,708.00)","(43,703.00)","(14,212.00)","(15,912.00)","(16,765.00)","(2,667.00)","(3,353.00)","(61,486.00)","(20,142.00)"
"15","Total Shares Outstanding (million)","1,347,000.00","1,347,000.00","1,347,000.00","1,337,500.00","1,337,500.00","1,336,182.20","1,343,500.00","1,343,500.00","1,341,900.00","1,341,900.00"
