"1","Financial Year","31-01-2019       3","30-04-2019       Other","30-06-2019       Other","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","2,010,806.00","2,219,569.00","1,430,475.00","2,071,045.00","2,082,837.00","1,975,461.00","860,437.00","1,943,623.00","1,940,643.00","1,820,939.00"
"3","Pretax Income","39,048.00","244,524.00","(53,486.00)","45,621.00","(61,664.00)","538,082.00","(376,818.00)","10,883.00","35,875.00","(28,161.00)"
"4","Net Income","(62,897.00)","97,102.00","(109,979.00)","(54,225.00)","(134,422.00)","412,521.00","(341,146.00)","(58,952.00)","(49,707.00)","(87,565.00)"
"5","Cash & Short-Term Investments","1,466,611.00","1,557,616.00","1,602,875.00","1,484,556.00","1,326,648.00","2,077,183.00","1,428,241.00","1,688,030.00","1,551,918.00","1,389,230.00"
"6","Cash Only","770,556.00","838,767.00","881,706.00","701,725.00","634,337.00","1,279,832.00","855,907.00","896,941.00","734,878.00","857,223.00"
"7","Total Accounts Receivables","1,846,635.00","1,560,324.00","1,506,386.00","1,862,471.00","1,765,365.00","1,623,546.00","2,321,185.00","2,192,554.00","2,224,917.00","2,302,212.00"
"8","Inventories","2,113,460.00","2,100,370.00","1,947,053.00","1,920,094.00","1,966,190.00","1,931,603.00","1,819,518.00","1,728,130.00","1,683,365.00","1,646,870.00"
"9","Net Property, Plant & Equipment","3,485,352.00","3,455,672.00","3,481,071.00","4,383,067.00","4,373,808.00","3,948,040.00","4,842,098.00","4,914,210.00","4,923,955.00","4,914,482.00"
"10","Accrued Payable","2,385,505.00","2,373,471.00","2,000,670.00","2,348,316.00","2,210,377.00","2,337,085.00","2,425,874.00","2,249,724.00","2,305,635.00","2,294,527.00"
"11","Short Term Debt","3,208,060.00","3,053,856.00","2,447,322.00","2,661,094.00","2,573,987.00","2,308,293.00","2,481,654.00","2,268,198.00","2,538,864.00","2,238,030.00"
"12","Long Term Debt","2,847,039.00","2,763,770.00","3,558,696.00","3,902,155.00","4,060,482.00","4,127,158.00","4,869,539.00","4,887,909.00","4,632,325.00","4,967,171.00"
"13","Net Operating Cash Flow","86,338.00","(431,719.00)","661,944.00","12,406.00","(6,212.00)","17,637.00","1,601.00","375,675.00","51,757.00","(44,409.00)"
"14","Capital Expenditures","(66,106.00)","(37,303.00)","(76,961.00)","(43,250.00)","(152,572.00)","(49,538.00)","(270,375.00)","(51,026.00)","(42,281.00)","(62,552.00)"
"15","Total Shares Outstanding (million)","4,873,591.00","5,164,924.00","5,164,924.00","5,164,925.00","5,164,925.00","5,033,425.00","4,874,325.00","5,069,298.08","5,002,000.00","5,002,000.47"
