"1","Financial Year","29-02-2020       4","31-05-2020       1","31-08-2020       2","30-11-2020       3","28-02-2021       4","31-05-2021       1","31-08-2021       2","30-11-2021       3","28-02-2022       4"
"2","Sales/Revenue","30,203.86","11,793.00","26,819.00","36,849.00","35,129.45","37,390.00","18,218.00","35,712.00","33,610.00"
"3","Pretax Income","1,978.89","(945.00)","1,494.00","2,341.00","2,242.09","3,163.00","814.00","3,909.00","1,130.00"
"4","Net Income","1,740.28","(1,015.00)","1,079.00","1,729.00","1,052.93","2,471.00","592.00","3,036.00","964.00"
"5","Cash & Short-Term Investments","5,854.79","19,345.00","20,674.00","20,607.00","25,708.00","27,649.00","25,734.00","25,081.00","23,783.00"
"6","Cash Only","5,854.79","19,345.00","20,674.00","20,607.00","25,708.00","27,649.00","25,734.00","25,081.00","23,783.00"
"7","Total Accounts Receivables","32,899.35","28,501.00","30,888.00","42,897.00","36,193.00","37,263.00","30,618.00","35,853.00","34,215.00"
"8","Inventories","35,381.29","36,035.00","36,764.00","38,972.00","38,869.00","40,723.00","41,027.00","42,018.00","42,007.00"
"9","Net Property, Plant & Equipment","23,436.94","23,076.00","22,623.00","22,413.00","22,127.00","33,001.00","32,521.00","32,192.00","34,789.00"
"10","Accrued Payable","31,063.44","23,473.00","27,400.00","36,952.00","36,418.00","36,918.00","28,592.00","36,201.00","38,093.00"
"11","Short Term Debt","19,052.22","21,339.00","19,536.00","14,674.00","17,116.00","18,464.00","18,311.00","14,486.00","12,887.00"
"12","Long Term Debt","9,380.60","9,293.00","9,008.00","7,818.00","7,561.00","15,909.00","15,592.00","15,094.00","14,813.00"
"13","Net Operating Cash Flow","(3,190.16)","(4,097.00)","3,478.00","5,272.00","(233.00)","(473.00)","(147.00)","5,001.00","2,562.00"
"14","Capital Expenditures","(1,620.12)","(52.00)","(17.00)","(206.00)","(135.00)","(2,293.00)","(1.00)","(153.00)","(3,189.00)"
"15","Total Shares Outstanding (million)","242,000.00","300,000.00","300,000.00","320,275.00","330,793.00","345,288.00","345,288.00","345,288.00","347,371.00"
