"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","1,323,259.00","1,454,445.00","1,906,491.00","3,024,940.00","4,185,361.00","2,792,610.00","2,387,926.00"
"3","Pretax Income","904,759.00","1,120,404.00","1,130,326.00","1,524,699.00","1,436,625.00","1,071,532.00","1,164,329.00"
"4","Net Income","693,621.00","889,918.00","890,702.00","1,080,018.00","920,870.00","783,631.00","786,515.00"
"5","Cash & Short-Term Investments","442,389.00","958,881.00","1,909,639.00","2,086,985.00","2,382,562.00","2,683,320.00","1,617,614.00"
"6","Cash Only","281,935.00","131,216.00","441,053.00","1,275,486.00","688,419.00","547,588.00","605,088.00"
"7","Total Accounts Receivables","492,432.00","498,177.00","945,924.00","957,956.00","1,428,441.00","572,917.00","554,948.00"
"8","Inventories","2,001,747.00","2,308,206.00","3,658,125.00","4,856,653.00","5,850,187.00","5,541,180.00","5,683,248.00"
"9","Net Property, Plant & Equipment","991,431.00","1,047,300.00","1,120,101.00","1,122,322.00","1,137,912.00","1,167,505.00","1,198,684.00"
"10","Accrued Payable","-","-","-","-","-","-","907,466.00"
"11","Short Term Debt","-","750,000.00","560,360.00","464,450.00","7,703,993.00","2,379,320.00","1,297,771.00"
"12","Long Term Debt","502,420.00","1,307,230.00","2,238,650.00","3,797,582.00","4,790,513.00","9,573,746.00","10,002,754.00"
"13","Net Operating Cash Flow","459,044.00","851,502.00","334,262.00","111,094.00","34,988.00","1,531,320.00","857,207.00"
"14","Capital Expenditures","(231,287.00)","(97,849.00)","(182,631.00)","(69,449.00)","(109,077.00)","(36,621.00)","(61,003.00)"
"15","Total Shares Outstanding (million)","3,587,081.00","3,587,080.00","4,057,548.00","4,751,570.17","5,506,145.00","5,506,145.00","5,506,145.00"
"16","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4"
"17","Sales/Revenue","1,194,725.00","895,824.00","1,195,297.00","869,979.00","707,444.00","541,212.00","673,975.00"
"18","Pretax Income","396,225.00","201,329.00","549,611.00","354,125.00","189,412.00","221,734.00","306,261.00"
"19","Net Income","273,530.00","121,136.00","336,636.00","242,852.00","109,139.00","166,647.00","264,993.00"
"20","Cash & Short-Term Investments","2,063,414.00","3,489,259.00","2,382,562.00","2,504,947.00","2,234,802.00","2,642,559.00","2,683,320.00"
"21","Cash Only","416,346.00","501,743.00","630,305.00","968,127.00","456,622.00","467,328.00","547,588.00"
"22","Total Accounts Receivables","3,683,336.00","1,951,622.00","1,486,663.00","1,480,597.00","1,354,459.00","892,122.00","616,157.00"
"23","Inventories","4,387,215.00","4,254,628.00","5,850,187.00","5,656,778.00","5,656,716.00","5,494,424.00","5,541,180.00"
"24","Net Property, Plant & Equipment","1,188,583.00","1,200,946.00","1,137,912.00","1,136,708.00","1,134,638.00","1,138,584.00","1,167,505.00"
"25","Accrued Payable","-","-","-","1,406,379.00","1,235,381.00","1,102,712.00","1,209,227.00"
"26","Short Term Debt","3,202,455.00","9,822,712.00","-","8,883,399.00","8,692,938.00","2,369,718.00","2,379,320.00"
"27","Long Term Debt","5,156,522.00","5,097,886.00","4,790,513.00","3,792,781.00","3,467,116.00","9,636,840.00","9,573,746.00"
"28","Net Operating Cash Flow","409,154.00","(410,642.00)","(167,749.00)","419,970.00","213,060.00","511,467.00","386,823.00"
"29","Capital Expenditures","(2,387,967.00)","2,378,994.00","(8,001.00)","(7,897.00)","(7,823.00)","(14,056.00)","(6,845.00)"
"30","Total Shares Outstanding (million)","4,751,585.00","4,415,914.00","4,428,326.00","5,506,145.00","5,506,145.00","5,506,145.00","5,506,145.00"
