"1","Financial Year","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","207,647.67","305,783.53","386,066.50","418,687.75","428,980.18","462,061.39","581,910.42","728,399.00","679,021.00"
"3","Pretax Income","15,677.28","23,865.97","38,574.17","45,593.87","63,081.18","91,542.00","111,619.61","114,463.00","30,107.00"
"4","Net Income","11,298.42","17,227.61","27,864.97","31,019.42","46,612.06","67,544.06","80,769.61","87,101.00","21,802.00"
"5","Cash & Short-Term Investments","15,733.73","24,786.20","23,820.15","74,177.89","46,961.95","52,579.82","53,820.05","26,653.00","44,116.00"
"6","Cash Only","-","-","-","57,591.79","12,845.29","35,885.64","32,790.90","20,748.00","17,937.00"
"7","Total Accounts Receivables","98,270.60","116,019.90","126,055.15","149,204.91","208,502.13","273,333.50","345,243.06","498,402.00","546,206.00"
"8","Net Property, Plant & Equipment","27,125.23","34,005.88","52,073.29","48,654.14","67,668.07","74,569.96","98,062.65","105,062.00","85,484.00"
"9","Accrued Payable","-","-","-","-","-","-","-","-","235,271.00"
"10","Short Term Debt","9,801.27","16,262.01","19,807.46","20,805.35","15,168.39","26,511.32","33,387.02","51,108.00","68,837.00"
"11","Long Term Debt","2,456.52","7,606.26","13,492.69","9,141.31","7,994.92","4,354.54","12,527.34","13,135.00","7,753.00"
"12","Net Operating Cash Flow","13,146.75","11,083.86","27,121.08","18,184.65","26,728.19","47,853.18","52,761.92","11,336.00","(10,929.00)"
"13","Capital Expenditures","(7,388.58)","(2,473.38)","(15,053.25)","(5,138.42)","(29,424.09)","(26,217.59)","(30,981.69)","(24,049.00)","(3,574.00)"
"14","Total Shares Outstanding (million)","2,000.00","2,000.00","2,000.00","535,000.00","535,000.00","1,337,500.03","1,337,500.03","1,337,500.03","1,337,500.03"
"15","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2"
"16","Pretax Income","29,103.00","32,009.00","28,460.61","29,129.00","30,369.00","28,167.00","26,798.00","20,445.00","(39,524.00)"
"16","Sales/Revenue","147,873.00","162,280.00","157,677.42","168,899.00","162,171.00","205,046.00","192,283.00","200,296.00","148,182.00"
"17","Net Income","21,363.00","22,106.00","20,855.61","21,192.00","22,731.00","23,717.00","19,461.00","15,043.00","(34,447.00)"
"18","Cash & Short-Term Investments","65,903.00","53,833.00","53,821.00","49,363.00","32,722.00","49,305.00","26,653.00","32,014.00","73,223.00"
"19","Cash Only","-","-","-","-","15,531.00","30,032.00","20,748.00","26,052.00","67,213.00"
"20","Total Accounts Receivables","295,686.00","356,065.00","347,360.00","381,932.00","419,854.00","442,265.00","500,566.00","555,786.00","561,039.00"
"21","Net Property, Plant & Equipment","85,442.00","103,430.00","98,062.00","100,280.00","111,397.00","111,078.00","105,062.00","100,524.00","92,905.00"
"22","Accrued Payable","11,428.00","22,844.00","18,657.00","159,941.00","169,178.00","185,539.00","199,360.00","218,065.00","298,097.00"
"23","Short Term Debt","24,089.00","30,933.00","-","30,670.00","36,161.00","38,760.00","51,108.00","77,567.00","75,134.00"
"24","Long Term Debt","9,948.00","8,961.00","12,527.00","11,364.00","17,231.00","15,751.00","13,135.00","12,354.00","9,695.00"
"25","Net Operating Cash Flow","465.00","5,831.00","12,529.92","7,361.00","1,867.00","23,241.00","(21,133.00)","(16,178.00)","46,775.00"
"26","Capital Expenditures","(1,272.00)","(24,223.00)","4,634.31","(9,890.00)","(6,665.00)","(7,034.00)","(460.00)","(2,818.00)","(123.00)"
"27","Total Shares Outstanding (million)","535,000.00","535,000.00","535,000.00","1,337,500.03","1,337,500.00","1,337,500.00","1,337,500.03","1,337,500.03","1,337,500.03"
