"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","24,231.00","30,204.00","34,370.00","44,108.50","35,959.62","35,534.25","42,105.25"
"3","Pretax Income","7,574.00","10,024.00","14,070.00","17,591.87","12,986.89","10,694.21","14,093.21"
"4","Net Income","6,999.00","9,211.00","12,898.00","16,431.99","10,220.44","7,527.30","9,814.30"
"5","Cash & Short-Term Investments","5,869.00","4,815.00","6,485.00","20,181.27","46,385.80","33,143.73","32,914.00"
"6","Cash Only","5,416.00","4,348.00","6,006.00","-","-","-","-"
"7","Total Accounts Receivables","6,148.00","7,166.00","6,366.00","7,633.53","8,097.99","9,738.29","10,790.00"
"8","Inventories","2,374.00","1,574.00","3,312.00","2,627.25","2,776.07","2,949.08","4,129.00"
"9","Net Property, Plant & Equipment","11,663.00","11,174.00","16,217.00","15,788.85","14,438.22","17,005.25","21,198.00"
"10","Short Term Debt","266.00","20.00","-","-","-","-","-"
"11","Long Term Debt","20.00","-","-","-","-","-","-"
"12","Net Operating Cash Flow","8,029.00","8,536.00","13,894.00","16,227.16","9,655.78","5,406.17","13,182.17"
"13","Capital Expenditures","(570.00)","(320.00)","(2,956.00)","(1,175.28)","(78.06)","(3,184.18)","(8,610.18)"
"14","Total Shares Outstanding (million)","2.00","2.00","2.00","461,997.23","517,996.89","518,000.00","518,612.00"
"15","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4"
"16","Pretax Income","2,915.00","3,798.00","3,525.89","3,026.00","2,466.00","2,674.00","2,528.21"
"16","Sales/Revenue","7,969.00","9,371.00","10,460.62","9,395.00","7,749.00","9,193.00","9,197.25"
"17","Net Income","2,210.00","2,959.00","2,808.44","2,330.00","1,722.00","1,818.00","1,657.30"
"18","Cash & Short-Term Investments","42,838.00","46,196.00","46,385.80","47,681.00","38,035.00","37,468.00","33,143.73"
"19","Total Accounts Receivables","7,964.00","10,002.00","8,097.99","8,654.00","8,480.00","9,168.00","9,738.29"
"20","Inventories","2,875.00","3,164.00","2,776.07","3,323.00","3,920.00","3,583.00","2,949.08"
"21","Net Property, Plant & Equipment","15,071.00","14,744.00","14,438.22","14,776.00","15,598.00","15,295.00","17,005.25"
"22","Accrued Payable","-","-","-","3,025.00","-","-","-"
"23","Long Term Debt","-","-","-","-","-","-","-"
"24","Net Operating Cash Flow","3,199.00","998.00","2,919.78","1,704.00","1,653.00","(734.00)","2,783.17"
"25","Capital Expenditures","(9.00)","(13.00)","(48.06)","(684.00)","(244.00)","(104.00)","(2,152.18)"
"26","Total Shares Outstanding (million)","370,000.00","330,000.00","370,000.00","517,996.89","518,000.00","518,000.00","518,000.00"
