"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","20,664.89","76,134.67","80,032.76","82,150.75","86,360.84"
"3","Pretax Income","14,767.04","46,667.41","40,605.63","40,301.41","41,346.68"
"4","Net Income","14,767.04","46,667.41","40,605.63","40,301.41","41,346.68"
"5","Cash & Short-Term Investments","16,197.64","6,355.66","12,651.28","12,489.62","9,005.63"
"6","Cash Only","-","6,355.66","12,651.28","12,489.62","9,005.63"
"7","Total Accounts Receivables","12,041.57","7,768.16","8,604.93","10,675.69","14,972.24"
"8","Net Property, Plant & Equipment","-","143.98","557.19","895.14","2,189.99"
"9","Accrued Payable","-","-","-","-","11,179.63"
"10","Long Term Debt","345,910.94","346,804.96","347,698.97","509,527.60","595,968.49"
"11","Net Operating Cash Flow","26,121.92","52,862.19","47,809.50","52,447.50","58,924.85"
"12","Capital Expenditures","-","(152.29)","(434.53)","(397.91)","(1,719.60)"
"13","Total Shares Outstanding (million)","580,000.00","580,000.00","580,000.00","580,000.00","580,000.00"
"14","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4"
"15","Sales/Revenue","21,482.87","19,753.06","20,245.51","19,785.70","20,248.50"
"16","Pretax Income","21,610.37","9,265.72","9,064.93","8,612.11","13,662.87"
"17","Net Income","21,610.37","9,265.72","9,064.93","8,612.11","13,662.87"
"18","Cash & Short-Term Investments","6,355.66","4,016.14","6,757.23","8,053.27","12,651.28"
"19","Cash Only","-","-","-","8,053.27","12,651.28"
"20","Total Accounts Receivables","8,507.35","10,834.33","11,126.62","12,918.23","15,662.43"
"21","Net Property, Plant & Equipment","143.98","237.75","263.19","593.25","557.19"
"22","Accrued Payable","-","-","-","7,687.16","6,945.24"
"23","Long Term Debt","346,804.96","347,028.46","347,251.96","347,475.46","347,698.97"
"24","Net Operating Cash Flow","10,884.42","12,540.58","11,969.55","13,715.26","9,584.11"
"25","Capital Expenditures","-","(97.58)","(31.53)","(335.64)","30.22"
"26","Total Shares Outstanding (million)","580,000.00","580,000.00","580,000.00","580,000.00","580,000.00"
