"1","Financial Year","30-06-2016       2","30-09-2016       3","31-12-2016       4"
"2","Sales/Revenue","69,661.53","54,831.64","59,227.00"
"3","Pretax Income","(3,177.78)","(3,774.16)","(60,323.00)"
"4","Net Income","(3,177.78)","(3,774.16)","(101,099.00)"
"5","Cash & Short-Term Investments","303,949.61","247,226.63","229,363.80"
"6","Cash Only","303,949.61","247,226.63","229,363.80"
"7","Total Accounts Receivables","144,601.18","196,599.80","188,447.18"
"8","Inventories","7,072.62","8,301.80","5,877.07"
"9","Net Property, Plant & Equipment","80,689.56","81,662.22","84,195.31"
"10","Long Term Debt","-","-","-"
"11","Net Operating Cash Flow","(54,487.14)","(63,290.29)","(29,673.99)"
"12","Capital Expenditures","-","(13.05)","(0.63)"
"13","Total Shares Outstanding (million)","1,161,588.00","1,161,588.00","1,161,588.00"
"14","Financial Year","31-12-2012","31-12-2013","31-12-2014"
"15","Sales/Revenue","344,329.95","426,189.18","410,226.79"
"16","Cash & Short-Term Investments","107,342.16","210,542.26","246,692.50"
"16","Pretax Income","86,674.13","108,861.45","105,167.70"
"17","Cash Only","107,342.16","161,823.29","167,831.65"
"17","Net Income","64,433.46","76,533.16","77,302.22"
"18","Total Accounts Receivables","62,709.69","75,192.85","107,594.92"
"19","Inventories","6,570.73","8,387.78","8,839.17"
"20","Net Property, Plant & Equipment","46,048.57","78,333.60","79,798.73"
"21","Long Term Debt","-","-","-"
"22","Net Operating Cash Flow","81,427.26","69,290.82","36,168.96"
"23","Capital Expenditures","(611.88)","(29,817.09)","(1,206.01)"
"24","Total Shares Outstanding (million)","968,990.00","1,139,991.00","1,139,991.00"
