"1","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       Other","31-03-2019       Other"
"2","Sales/Revenue","215,128.00","76,842.00","52,630.00","102,785.00","78,679.00","19,381.00","59,164.00","94,456.00","70,252.00","50,431.00"
"3","Pretax Income","2,730.00","(3,145.00)","(81,866.00)","(56,661.00)","(75,057.00)","(19,812.00)","(15,346.00)","(5,098.00)","(10,840.00)","(41,469.00)"
"4","Net Income","4,084.00","(4,598.00)","(82,113.00)","(56,160.00)","(73,833.00)","(19,927.00)","(15,482.00)","(5,076.00)","(21,096.00)","(41,926.00)"
"5","Cash & Short-Term Investments","220,464.00","204,846.00","157,307.00","141,379.00","132,050.00","109,902.00","107,523.00","94,973.00","135,828.00","96,680.00"
"6","Cash Only","101,701.00","84,433.00","29,617.00","23,248.00","29,205.00","15,137.00","18,526.00","15,395.00","44,973.00","22,509.00"
"7","Total Accounts Receivables","187,596.00","111,608.00","100,115.00","158,838.00","116,798.00","89,088.00","105,869.00","120,157.00","54,633.00","62,898.00"
"8","Inventories","10,479.00","11,869.00","7,537.00","9,561.00","5,154.00","5,540.00","4,801.00","4,655.00","4,656.00","2,499.00"
"9","Net Property, Plant & Equipment","400,649.00","389,272.00","373,150.00","361,418.00","297,447.00","279,083.00","282,631.00","281,755.00","276,382.00","268,306.00"
"10","Accrued Payable","-","-","-","7,887.00","2,970.00","3,911.00","4,414.00","4,044.00","3,334.00","4,599.00"
"11","Short Term Debt","87,218.00","-","-","104,770.00","54,190.00","45,792.00","48,242.00","46,029.00","20,526.00","20,825.00"
"12","Long Term Debt","169,349.00","167,195.00","162,286.00","159,895.00","171,205.00","162,959.00","170,363.00","174,649.00","172,022.00","169,632.00"
"13","Net Operating Cash Flow","81,331.00","23,465.00","(55,141.00)","(63,550.00)","23,398.00","(13,253.00)","(18,210.00)","(17,729.00)","67,471.00","(38,089.00)"
"14","Capital Expenditures","(3,695.00)","(644.00)","(1,434.00)","(441.00)","(188.00)","(175.00)","(179.00)","(80.00)","(527.00)","(170.00)"
"15","Total Shares Outstanding (million)","825,166.00","825,199.00","825,555.00","825,639.00","826,405.00","826,405.00","826,405.00","826,405.00","835,786.39","835,786.39"
"16","Financial Year","30-09-2012","30-09-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM","",""
"16","Net Income","33,231.00","41,131.00","80,270.00","18,849.00","14,534.00","(216,704.00)","(61,581.00)","(83,580.00)","",""
"17","Cash & Short-Term Investments","40,246.00","56,612.00","248,570.00","185,838.00","220,464.00","132,050.00","135,828.00","96,680.00","",""
"17","Sales/Revenue","201,956.00","298,901.00","949,037.00","592,570.00","622,586.00","310,936.00","243,253.00","274,303.00","",""
"18","Cash Only","9,208.00","17,125.00","153,200.00","49,979.00","101,701.00","29,205.00","44,973.00","22,509.00","",""
"18","Pretax Income","39,451.00","57,621.00","107,863.00","5,593.00","16,367.00","(216,729.00)","(51,096.00)","(72,753.00)","",""
"19","Total Accounts Receivables","55,050.00","107,386.00","209,090.00","189,087.00","183,724.00","113,837.00","54,633.00","62,898.00","",""
"20","Inventories","-","-","-","-","10,479.00","5,154.00","4,656.00","2,499.00","",""
"21","Net Property, Plant & Equipment","319,798.00","305,630.00","302,349.00","299,795.00","400,649.00","297,447.00","276,382.00","268,306.00","",""
"22","Accrued Payable","-","-","-","-","-","-","3,334.00","4,599.00","",""
"23","Short Term Debt","18,416.00","36,953.00","104,247.00","71,692.00","87,218.00","54,190.00","20,526.00","20,825.00","",""
"24","Long Term Debt","220,463.00","207,453.00","192,694.00","189,954.00","169,349.00","171,205.00","172,022.00","169,632.00","",""
"25","Net Operating Cash Flow","70,587.00","15,242.00","62,289.00","40,038.00","68,607.00","(71,828.00)","36,489.00","(6,557.00)","",""
"26","Capital Expenditures","(44,816.00)","(4,085.00)","(17,927.00)","(21,202.00)","(27,106.00)","(2,707.00)","(782.00)","(956.00)","",""
"27","Total Shares Outstanding (million)","484,545.00","484,545.00","763,337.00","824,393.00","825,166.00","826,405.00","835,786.39","835,786.39","825,166.00","1,081,319.00"
