"1","Financial Year","30-09-2019       4","31-12-2019       Other","31-03-2020       Other","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","(22,732.00)","21,550.00","(13,582.00)","12,011.00","16,980.00","(9,714.00)","15,873.00","7,580.00","874.00","46,721.00"
"3","Pretax Income","(44,883.00)","(8,550.00)","(36,551.00)","(15,527.00)","(52,543.00)","(48,929.00)","(31,011.00)","(12,017.00)","(25,317.00)","(12,744.00)"
"4","Net Income","(54,449.00)","(9,226.00)","(32,336.00)","(14,399.00)","(53,102.00)","(49,182.00)","(44,954.00)","(11,575.00)","(25,184.00)","(12,428.00)"
"5","Cash & Short-Term Investments","19,309.00","17,022.00","11,235.00","15,678.00","17,764.00","15,875.00","16,539.00","15,760.00","8,507.00","9,083.00"
"6","Cash Only","13,653.00","12,950.00","11,235.00","11,542.00","13,628.00","11,739.00","12,293.00","11,495.00","7,242.00","7,866.00"
"7","Total Accounts Receivables","183,464.00","175,225.00","124,558.00","120,229.00","106,764.00","128,300.00","142,471.00","136,117.00","136,079.00","127,812.00"
"8","Inventories","248,421.00","263,111.00","271,903.00","178,847.00","160,846.00","189,450.00","115,516.00","110,715.00","121,735.00","76,597.00"
"9","Net Property, Plant & Equipment","478,998.00","477,341.00","492,756.00","502,570.00","502,954.00","500,100.00","493,841.00","492,090.00","489,126.00","487,970.00"
"10","Accrued Payable","255,295.00","242,316.00","230,499.00","207,288.00","224,950.00","231,425.00","193,002.00","193,489.00","188,103.00","101,195.00"
"11","Short Term Debt","219,525.00","195,314.00","182,961.00","389,405.00","394,714.00","395,221.00","456,359.00","461,700.00","464,200.00","431,066.00"
"12","Long Term Debt","243,596.00","245,512.00","252,476.00","49,424.00","48,082.00","47,956.00","6,312.00","6,258.00","6,256.00","6,256.00"
"13","Net Operating Cash Flow","(70,642.00)","2,011.00","22,062.00","2,637.00","(305.00)","(3,846.00)","5,164.00","(572.00)","(5,540.00)","40,483.00"
"14","Capital Expenditures","45,362.00","23,878.00","(20,849.00)","-","-","-","(3,013.00)","-","-","(996.00)"
"15","Total Shares Outstanding (million)","557,681.00","557,681.09","557,681.09","557,681.00","557,681.00","557,681.00","557,681.00","557,681.00","557,681.00","557,681.00"
