"1","Financial Year","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-09-2019       TTM"
"2","Sales/Revenue","158,422.00","368,868.00","325,787.00","245,575.00","163,439.00","123,527.00","115,579.00","141,304.00","441,138.00","509,294.00"
"3","Pretax Income","12,639.00","23,291.00","26,121.00","30,686.00","(5,161.00)","6,287.00","(3,516.00)","(24,452.00)","29,931.00","32,414.00"
"4","Net Income","8,312.00","13,984.00","17,077.00","17,219.00","(8,246.00)","3,452.00","(4,263.00)","(25,388.00)","27,679.00","28,072.00"
"5","Cash & Short-Term Investments","14,058.00","20,581.00","23,766.00","16,561.00","22,294.00","29,523.00","47,215.00","34,775.00","52,979.00","72,942.25"
"6","Cash Only","14,058.00","20,581.00","23,766.00","16,561.00","11,272.00","15,790.00","10,560.00","9,232.00","15,217.00","18,343.25"
"7","Total Accounts Receivables","45,763.00","86,126.00","79,815.00","94,562.00","97,169.00","42,124.00","42,045.00","59,144.00","165,473.00","122,929.25"
"8","Net Property, Plant & Equipment","13,598.00","16,881.00","14,282.00","53,065.00","131,488.00","146,380.00","138,255.00","117,308.00","113,508.00","114,463.25"
"9","Accrued Payable","-","-","-","-","-","8,931.00","12,788.00","-","-","19,306.75"
"10","Short Term Debt","469.00","7,551.00","5,221.00","8,689.00","14,017.00","-","16,173.00","13,965.00","15,348.00","13,692.75"
"11","Long Term Debt","2,678.00","6,801.00","5,677.00","33,210.00","30,383.00","80,806.00","64,809.00","51,123.00","38,170.00","40,152.25"
"12","Net Operating Cash Flow","4,525.00","12,204.00","13,980.00","6,810.00","64,502.00","(16,593.00)","10,302.00","(7,158.00)","35,496.00","112,789.00"
"13","Capital Expenditures","(5,484.00)","(855.00)","(237.00)","(9,323.00)","(81,494.00)","(32,639.00)","(699.00)","(448.00)","(1,374.00)","(2,263.00)"
"14","Total Shares Outstanding (million)","1,000.00","1,000.00","1,000.00","1,000.00","233,878.00","233,878.00","233,878.00","233,878.00","233,878.00","-"
