"1","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","80,665.00","70,476.00","122,823.42","103,063.00","143,511.00","79,968.00","54,818.06","67,093.00","83,094.00","117,569.00"
"3","Pretax Income","26,709.00","29,133.00","26,996.04","28,285.00","27,867.00","27,157.00","19,413.40","17,044.00","16,259.00","15,632.00"
"4","Net Income","20,448.00","19,232.00","16,289.14","20,564.00","20,009.00","21,681.00","10,314.28","11,734.00","10,330.00","10,823.00"
"5","Cash & Short-Term Investments","101,922.00","112,398.00","136,709.00","275,853.00","202,954.00","226,189.00","218,752.47","296,522.00","267,330.00","227,942.00"
"6","Total Accounts Receivables","288,955.00","279,031.00","291,823.00","347,003.00","415,958.00","532,115.00","581,983.03","542,770.00","548,789.00","531,794.00"
"7","Inventories","423,961.00","434,923.00","456,966.00","660,396.00","759,570.00","696,722.00","740,436.89","783,288.00","788,710.00","752,425.00"
"8","Net Property, Plant & Equipment","11,709.00","11,565.00","12,115.00","12,146.00","11,959.00","16,537.00","12,038.52","11,894.00","11,696.00","11,500.00"
"9","Accrued Payable","211,511.00","279,877.00","339,575.00","510,241.00","249,043.00","196,706.00","265,514.72","290,334.00","280,439.00","330,269.00"
"10","Short Term Debt","96,534.00","128,522.00","-","151,496.00","129,753.00","262,710.00","147,961.61","119,175.00","106,552.00","96,537.00"
"11","Long Term Debt","216,614.00","258,336.00","-","240,323.00","293,262.00","292,783.00","398,372.02","413,125.00","402,496.00","387,210.00"
"12","Net Operating Cash Flow","(1,903.00)","28,560.00","25,336.92","143,007.00","(385,735.00)","(155,796.00)","62,030.36","98,311.00","3,517.00","7,209.00"
"13","Capital Expenditures","(26.00)","(19.00)","668.96","(235.00)","19.00","(375.00)","(86.05)","(97.00)","(43.00)","(48.00)"
"14","Total Shares Outstanding (million)","360,000.00","360,000.00","-","1,275,707.11","1,344,424.61","1,344,217.61","1,344,187.61","1,343,127.61","1,312,237.11","1,300,186.91"
"15","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","","",""
"16","Pretax Income","73,496.00","96,443.09","111,083.20","91,413.66","110,079.04","102,722.40","68,348.40","","",""
"16","Sales/Revenue","186,204.00","283,847.72","340,650.25","400,079.48","381,523.42","381,360.06","322,574.06","","",""
"17","Net Income","55,563.00","71,295.41","80,936.73","68,351.72","76,012.14","72,568.28","43,201.28","","",""
"18","Cash & Short-Term Investments","30,133.00","144,633.14","191,423.14","94,946.58","136,777.50","218,752.47","227,942.00","","",""
"19","Cash Only","19,749.00","36,217.68","104,295.89","18,271.60","28,678.48","112,053.10","-","","",""
"20","Total Accounts Receivables","111,038.00","104,159.69","141,265.74","149,112.76","132,794.03","464,347.61","531,794.00","","",""
"21","Inventories","172,854.00","365,055.45","389,255.74","435,551.15","642,116.41","740,436.89","752,425.00","","",""
"22","Net Property, Plant & Equipment","4,327.00","4,465.41","4,510.32","11,295.22","12,114.73","12,038.52","11,500.00","","",""
"23","Accrued Payable","-","-","-","-","-","-","330,269.00","","",""
"24","Short Term Debt","29,497.00","21,497.87","54,712.76","104,738.20","110,462.92","147,961.61","96,537.00","","",""
"25","Long Term Debt","44,228.00","104,998.19","103,778.89","101,111.47","281,348.62","398,372.02","387,210.00","","",""
"26","Net Operating Cash Flow","(11,135.00)","(27,784.02)","159,867.75","(66,371.91)","33,761.92","(336,493.64)","171,067.36","","",""
"27","Capital Expenditures","(52.00)","(226.17)","(350.95)","(7,266.74)","(102.04)","(677.05)","(274.05)","","",""
"28","Total Shares Outstanding (million)","258,295.00","340,000.00","353,311.00","713,702.40","819,999.87","1,344,187.61","1,300,186.91","713,702.40","482,902.92",""
