"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       Other","31-03-2021       Other","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","9,606.00","15,690.56","11,257.00","12,219.00","4,845.00","4,470.00","1,098.00","4,141.00","64,815.00","54,665.00"
"3","Pretax Income","(666.00)","5,400.06","(4,373.00)","(50.00)","(4,902.00)","(21,755.00)","(16,365.00)","(8,066.00)","(49,125.00)","(74,808.00)"
"4","Net Income","(649.00)","5,400.64","(4,293.00)","208.00","(4,727.00)","(22,541.00)","(16,235.00)","(7,543.00)","(49,987.00)","(75,254.00)"
"5","Cash & Short-Term Investments","25,188.00","10,479.00","5,565.00","3,388.00","32,524.00","65,736.00","81,715.00","57,854.00","106,263.00","19,022.00"
"6","Cash Only","25,188.00","10,479.00","5,565.00","3,388.00","32,524.00","65,736.00","81,715.00","57,854.00","106,263.00","19,022.00"
"7","Total Accounts Receivables","60,984.00","88,820.00","79,913.00","70,898.00","91,051.00","93,316.00","37,113.00","69,491.00","113,641.00","102,681.00"
"8","Inventories","18,184.00","17,272.00","17,607.00","16,520.00","19,865.00","10,436.00","12,859.00","10,677.00","11,030.00","23,766.00"
"9","Net Property, Plant & Equipment","98,415.00","106,086.00","113,176.00","116,514.00","146,941.00","206,602.00","80,102.00","84,271.00","80,638.00","14,917.00"
"10","Accrued Payable","-","-","960.00","15,999.00","29,051.00","70,957.00","67,992.00","75,853.00","99,990.00","49,600.00"
"11","Short Term Debt","14,594.00","14,155.00","18,023.00","16,333.00","18,907.00","20,918.00","43,916.00","41,463.00","44,262.00","42,376.00"
"12","Long Term Debt","45,632.00","48,961.00","43,514.00","41,658.00","41,733.00","41,992.00","22,096.00","25,878.00","23,389.00","2,143.00"
"13","Net Operating Cash Flow","5,387.00","(7,380.00)","(8,852.00)","2,766.00","10,389.00","39,181.00","39,540.00","(23,446.00)","(51,551.00)","(12,540.00)"
"14","Capital Expenditures","(39.00)","(4,900.00)","(4,048.00)","(4,342.00)","(27,404.00)","(66,070.00)","(106,147.00)","(5,651.00)","(2,093.00)","(79,011.00)"
"15","Total Shares Outstanding (million)","893,826.08","1,093,826.08","1,093,826.08","1,093,826.08","1,733,587.99","2,263,027.81","2,565,043.93","2,749,920.99","5,978,812.21","597,881.22"
