"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019"
"2","Sales/Revenue","8,791,000.00","9,150,700.00","9,993,500.00","10,628,700.00","11,235,100.00","11,721,600.00","12,060,900.00","12,085,100.00","11,819,300.00","11,434,200.00"
"3","Pretax Income","1,360,200.00","1,001,200.00","1,069,600.00","1,046,000.00","1,105,500.00","911,800.00","918,500.00","1,048,000.00","17,400.00","925,100.00"
"4","Net Income","1,206,500.00","1,191,000.00","1,263,700.00","1,012,200.00","831,800.00","700,300.00","776,000.00","929,700.00","153,200.00","632,700.00"
"5","Cash & Short-Term Investments","4,348,100.00","4,651,200.00","4,255,800.00","3,156,400.00","3,464,300.00","4,033,800.00","3,450,000.00","2,088,500.00","2,982,000.00","5,083,700.00"
"6","Cash Only","437,200.00","635,900.00","476,300.00","755,400.00","943,000.00","1,152,200.00","1,278,700.00","606,900.00","661,800.00","689,000.00"
"7","Total Accounts Receivables","2,504,000.00","2,202,900.00","2,059,900.00","2,088,400.00","2,585,000.00","2,733,400.00","2,922,500.00","3,443,400.00","2,727,600.00","2,876,800.00"
"8","Inventories","174,000.00","216,900.00","235,300.00","154,000.00","115,900.00","236,800.00","207,100.00","258,500.00","134,600.00","102,000.00"
"9","Net Property, Plant & Equipment","13,112,100.00","13,613,000.00","14,637,600.00","14,572,000.00","14,785,100.00","15,186,900.00","16,010,600.00","16,540,700.00","15,263,300.00","15,374,700.00"
"10","Accrued Payable","589,700.00","607,600.00","736,000.00","765,300.00","594,000.00","670,900.00","1,154,100.00","899,000.00","594,300.00","2,120,400.00"
"11","Short Term Debt","26,000.00","7,700.00","2,010,200.00","1,590,200.00","197,000.00","408,300.00","700,700.00","1,119,000.00","234,100.00","1,330,100.00"
"12","Long Term Debt","5,506,000.00","6,402,700.00","5,130,200.00","4,865,000.00","6,251,400.00","7,175,400.00","7,662,600.00","7,031,200.00","8,337,200.00","9,317,900.00"
"13","Net Operating Cash Flow","2,973,400.00","3,030,700.00","2,723,700.00","2,795,700.00","3,014,100.00","2,942,000.00","2,848,600.00","2,417,600.00","2,585,100.00","3,502,000.00"
"14","Capital Expenditures","(2,864,300.00)","(2,735,000.00)","(2,547,900.00)","(2,415,200.00)","(2,100,500.00)","(2,547,200.00)","(3,683,500.00)","(3,318,700.00)","(2,276,100.00)","(1,498,800.00)"
"15","Total Shares Outstanding (million)","3,568,100.00","3,577,400.00","3,577,400.00","3,577,400.00","3,719,400.00","3,758,000.00","3,758,000.00","3,758,000.00","3,758,000.00","3,765,700.00"
