"1","Financial Year","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2"
"2","Sales/Revenue","62,694.00","46,784.00","67,823.00","65,341.84","60,205.00","40,648.00"
"3","Pretax Income","6,666.00","2,035.00","7,000.00","7,446.71","4,341.00","2,781.00"
"4","Net Income","5,066.00","1,006.00","5,097.00","5,002.77","3,015.00","2,050.00"
"5","Cash & Short-Term Investments","35,370.00","39,394.00","43,749.00","51,595.00","61,259.00","37,603.00"
"6","Cash Only","22,215.00","26,979.00","12,175.00","20,187.00","30,611.00","17,526.00"
"7","Total Accounts Receivables","92,495.00","84,929.00","86,875.00","89,563.00","89,537.00","89,331.00"
"8","Net Property, Plant & Equipment","26,823.00","26,646.00","26,509.00","25,945.00","26,314.00","26,352.00"
"9","Short Term Debt","4,956.00","5,631.00","6,368.00","5,971.00","5,606.00","5,350.00"
"10","Long Term Debt","16,047.00","15,770.00","15,045.00","15,536.00","15,487.00","15,133.00"
"11","Net Operating Cash Flow","8,821.00","5,064.00","(10,841.00)","8,524.00","3,645.00","(9,170.00)"
"12","Capital Expenditures","(476.00)","(168.00)","(87.00)","(454.00)","(913.00)","(557.00)"
"13","Total Shares Outstanding (million)","270,000.00","270,000.00","360,000.00","360,000.00","360,000.00","360,000.00"
