"1","Financial Year","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","10,154.62","13,337.95","16,018.83","17,748.85","13,099.30","15,928.66","13,113.25"
"3","Pretax Income","2,181.69","2,900.35","4,324.29","2,716.19","2,530.53","2,857.20","2,716.02"
"4","Net Income","1,531.45","2,067.98","3,109.91","2,361.99","1,937.85","2,150.02","1,776.59"
"5","Cash & Short-Term Investments","14,165.83","12,687.55","49,890.42","50,086.50","50,710.26","50,577.01","52,835.45"
"6","Cash Only","14,165.83","12,687.55","49,890.42","11,446.64","13,740.27","13,269.79","18,290.08"
"7","Total Accounts Receivables","14,950.14","19,638.50","25,261.60","25,440.37","25,310.58","26,257.72","25,535.84"
"8","Net Property, Plant & Equipment","8,055.73","7,768.36","7,894.60","9,100.47","9,080.81","9,689.57","9,700.38"
"9","Short Term Debt","974.90","948.68","997.82","753.89","667.01","937.55","942.04"
"10","Long Term Debt","7,690.05","7,462.56","7,574.24","7,954.46","7,982.04","7,745.98","7,508.82"
"11","Net Operating Cash Flow","3,147.36","(1,123.80)","876.57","1,700.06","912.97","707.84","4,059.54"
"12","Capital Expenditures","(131.15)","22.22","(52.99)","(1,214.53)","(110.60)","(654.23)","(305.67)"
"13","Total Shares Outstanding (million)","174,021.00","174,021.00","260,000.00","260,000.00","260,000.00","260,000.00","260,000.00"
"14","Financial Year","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","31-03-2019       TTM"
"15","Sales/Revenue","31,819.00","39,435.00","46,434.00","54,519.00","57,260.25","59,890.06","59,890.06"
"16","Pretax Income","4,675.00","6,413.00","9,655.00","13,665.00","12,122.52","10,819.94",""
"17","Net Income","3,372.00","4,730.00","7,168.00","10,027.00","9,071.33","8,226.45",""
"18","Cash & Short-Term Investments","10,614.00","9,372.00","7,278.00","11,297.00","50,086.50","52,835.45",""
"19","Cash Only","9,561.00","8,288.00","7,278.00","11,297.00","11,446.64","18,290.08",""
"20","Total Accounts Receivables","7,602.00","9,924.00","13,303.00","19,467.00","25,440.37","25,535.84",""
"21","Net Property, Plant & Equipment","8,620.00","8,595.00","8,151.00","8,061.00","9,100.47","9,700.38",""
"22","Short Term Debt","421.00","1,119.00","607.00","1,135.00","753.89","942.04",""
"23","Long Term Debt","5,315.00","8,087.00","8,187.00","7,515.00","7,954.46","7,508.82",""
"24","Net Operating Cash Flow","13,321.00","196.00","2,882.00","7,075.00","4,600.19","7,380.41",""
"25","Capital Expenditures","(1,289.00)","(984.00)","(383.00)","(566.00)","(1,376.45)","(2,285.03)",""
"26","Total Shares Outstanding (million)","174,021.00","174,021.00","174,021.00","174,021.00","260,000.00","260,000.00","174,021.00"
