"1","Financial Year","31-03-2016","31-03-2017","31-03-2018","31-03-2019","31-03-2020","31-03-2021","31-12-2021       TTM","","",""
"2","Sales/Revenue","35,286.00","39,009.00","45,069.00","112,201.00","253,434.00","224,287.00","163,572.94","","",""
"3","Pretax Income","5,208.00","7,219.00","9,306.00","12,240.00","16,485.00","22,691.00","13,757.01","","",""
"4","Net Income","4,150.00","6,499.00","8,239.00","11,124.00","15,665.00","16,139.00","9,495.59","","",""
"5","Cash & Short-Term Investments","1,205.00","4,498.00","3,537.00","22,426.00","60,957.00","92,202.00","70,434.25","","",""
"6","Cash Only","672.00","3,900.00","2,876.00","14,191.00","27,462.00","55,595.00","27,731.00","","",""
"7","Total Accounts Receivables","9,721.00","8,538.00","16,418.00","44,699.00","58,904.00","98,976.00","111,691.25","","",""
"8","Inventories","1,223.00","1,542.00","1,430.00","2,030.00","19,816.00","10,304.00","23,126.75","","",""
"9","Net Property, Plant & Equipment","10,455.00","11,589.00","14,655.00","14,682.00","16,370.00","19,649.00","19,916.25","","",""
"10","Short Term Debt","2,040.00","1,948.00","2,972.00","8,304.00","8,803.00","4,132.00","10,174.75","","",""
"11","Long Term Debt","9,286.00","8,432.00","7,833.00","11,449.00","11,503.00","15,344.00","14,854.75","","",""
"12","Net Operating Cash Flow","(6,125.00)","7,755.00","2,577.00","10,199.00","8,637.00","5,447.00","(53,790.00)","","",""
"13","Capital Expenditures","(2,394.00)","(1,593.00)","(2,518.00)","(1,987.00)","(866.00)","(2,409.00)","(3,039.00)","","",""
"14","Total Shares Outstanding (million)","291,795.66","291,795.66","291,795.66","291,795.66","390,624.00","633,941.03","667,553.93","291,795.66","345,960.38","345,960.38"
