"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","80,816.10","81,386.70","75,297.59","74,740.28","90,773.35","112,263.43","112,290.95"
"3","Pretax Income","9,174.47","7,962.48","7,609.46","10,541.23","1,196.55","1,344.07","444.70"
"4","Net Income","6,554.71","5,319.40","5,828.60","8,012.93","430.52","847.35","85.82"
"5","Cash & Short-Term Investments","7,685.23","8,238.77","8,915.54","10,712.33","20,115.66","13,119.85","16,520.39"
"6","Cash Only","7,685.23","8,238.77","8,790.53","10,712.33","20,115.66","13,119.85","16,520.39"
"7","Total Accounts Receivables","21,024.87","20,950.83","22,408.00","26,994.60","32,532.08","26,179.33","25,178.10"
"8","Inventories","13,364.25","12,985.80","11,444.38","13,078.65","13,739.29","16,132.56","17,235.23"
"9","Net Property, Plant & Equipment","29,801.52","34,185.00","31,841.07","32,660.64","33,550.11","39,274.47","38,361.19"
"10","Accrued Payable","-","-","-","2,157.90","2,715.79","2,832.66","-"
"11","Short Term Debt","15,363.88","17,870.78","12,085.08","15,508.47","20,009.76","22,492.77","23,343.00"
"12","Long Term Debt","685.83","2,885.40","1,582.79","1,265.66","1,708.83","1,103.94","10,046.83"
"13","Net Operating Cash Flow","17,574.02","6,172.40","9,649.43","4,485.40","(2,551.91)","6,219.39","8,500.20"
"14","Capital Expenditures","(12,054.76)","(7,155.49)","(915.28)","(4,086.52)","(4,638.23)","(9,743.35)","(9,490.21)"
"15","Total Shares Outstanding (million)","240,594.00","240,594.00","240,594.00","192,593.80","240,593.80","240,593.80","240,593.80"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2"
"16","Pretax Income","1,043.00","1,285.84","(1,920.73)","768.31","1,063.13","208.71","(410.10)"
"17","Net Income","566.14","951.72","(1,742.78)","575.14","646.43","68.02","(410.95)"
"17","Sales/Revenue","19,674.62","18,653.47","20,220.83","25,004.07","26,894.98","25,764.52","27,482.03"
"18","Cash & Short-Term Investments","10,712.33","11,591.57","31,643.42","23,030.75","20,115.66","16,631.93","16,843.76"
"19","Cash Only","10,712.33","11,591.57","31,643.42","23,030.75","20,115.66","16,631.93","16,843.76"
"20","Total Accounts Receivables","26,994.60","26,954.18","25,823.62","28,116.14","32,532.08","32,617.55","31,348.58"
"21","Inventories","13,078.65","14,120.85","15,611.32","14,424.96","13,739.29","18,724.11","17,128.02"
"22","Net Property, Plant & Equipment","32,660.64","32,671.56","32,005.67","31,789.54","33,550.11","33,179.40","34,985.94"
"23","Accrued Payable","-","-","-","-","2,715.79","-","-"
"24","Short Term Debt","-","17,658.07","22,844.31","17,864.23","20,009.76","20,917.00","22,057.34"
"25","Long Term Debt","1,265.66","2,357.48","2,084.55","1,728.48","1,708.83","1,754.11","1,376.58"
"26","Net Operating Cash Flow","4,485.40","(1,135.22)","613.16","2,077.77","(4,107.62)","(3,412.90)","2,479.65"
"27","Capital Expenditures","(4,086.52)","(988.91)","(350.78)","(782.83)","(2,515.71)","(363.34)","(2,885.71)"
"28","Total Shares Outstanding (million)","240,594.00","240,594.00","240,593.80","240,593.80","240,593.80","240,593.80","240,593.80"
