"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       Other","30-06-2021       Other","30-09-2021       Other","31-12-2021       1"
"2","Sales/Revenue","5,116.00","9,293.00","3,448.00","4,049.42","902.00","640.00","2,145.00","7,708.00","16,419.00","9,448.00"
"3","Pretax Income","483.00","2,157.00","(4,212.00)","(17,764.14)","(3,431.00)","(6,957.00)","6,028.00","(14,904.00)","1,735.00","(315.00)"
"4","Net Income","104.00","1,069.00","(4,236.00)","(15,677.66)","(3,476.00)","(5,373.00)","6,354.00","(15,352.00)","3,822.00","(1,445.00)"
"5","Cash & Short-Term Investments","340.00","486.00","170.00","432.00","1,099.00","48,288.00","5,802.00","24,213.00","40,701.00","19,841.00"
"6","Cash Only","340.00","486.00","170.00","432.00","1,099.00","48,288.00","5,802.00","24,213.00","40,701.00","19,841.00"
"7","Total Accounts Receivables","16,140.00","16,918.00","16,788.00","10,636.00","39,049.00","16,550.00","51,650.00","18,913.00","12,456.00","12,765.00"
"8","Inventories","5,937.00","5,932.00","5,929.00","2,407.00","2,174.00","2,173.00","6,802.00","12,181.00","34,193.00","37,366.00"
"9","Net Property, Plant & Equipment","64,525.00","63,109.00","62,031.00","72,508.00","70,942.00","73,829.00","92,559.00","170,823.00","204,517.00","234,077.00"
"10","Short Term Debt","18,434.00","18,471.00","18,379.00","23,172.00","23,498.00","-","-","4,701.00","10,685.00","15,767.00"
"11","Long Term Debt","-","-","-","9,476.00","8,847.00","11,235.00","-","34,993.00","89,763.00","105,665.00"
"12","Net Operating Cash Flow","(761.00)","3,534.00","(491.00)","2,063.00","2,768.00","(14,811.00)","(41,906.00)","25,284.00","16,431.00","(8,823.00)"
"13","Capital Expenditures","-","-","-","-","-","(7,677.00)","(37,630.00)","(78,492.00)","(114,506.00)","(31,830.00)"
"14","Total Shares Outstanding (million)","126,000.00","126,000.00","126,000.00","126,000.00","126,000.00","284,000.00","284,000.00","284,000.00","284,000.00","284,000.00"
